misc/nupdates,misc/total_timesteps,fps,sim_time,train_time,eprewmean,epcostmean,epsuccessmean,epcollisionmean,eppathlengthmean,loss/policy_entropy,loss/policy_loss,loss/value_loss,loss/cost_value_loss
1200,4611840,390,8540.242422580719,3253.264275074005,28.352228,0.584848008,0.982,0.018,17.897939579885453,1.4189385175704956,-0.0017892169232254674,2.536809349842952,0.031495155755692394
1220,4688640,390,8673.294247150421,3306.4820182323456,28.108284,0.630413296,0.98,0.02,17.792648940466343,1.4189385175704956,-0.0014590066573873627,1.3082265829434618,0.07410389177457546
1240,4765440,391,8808.492990016937,3359.8204658031464,28.692139,0.531609068,0.996,0.004,18.071834371455015,1.4189385175704956,-0.0002357686204049969,0.047423664765665306,0.029932019570696865
1260,4842240,391,8943.301925182343,3412.398867368698,28.926792,0.6083724419999998,0.994,0.006,18.251617849335073,1.4189385175704956,-0.0011157907341839747,0.8342851876106578,0.05648293603444472
1280,4919040,391,9078.65869307518,3465.5763490200043,28.546595,0.658391634,0.99,0.01,18.11206406730041,1.4189385175704956,-0.0011865312786540016,2.502051020646468,0.0793458045402076
1300,4995840,392,9210.548103570938,3519.01593208313,28.446472,0.569908808,0.99,0.01,17.962795093670486,1.4189385175704956,-0.001946212476468645,0.04955873942817561,0.061574449409090445
1320,5072640,391,9357.206534862518,3573.036724090576,28.524046,0.562377084,0.988,0.012,17.95032332264632,1.4189385175704956,-0.0006988331497268518,1.9685725445480784,0.07035743828455451
1340,5149440,392,9495.893251895905,3626.5230419635773,28.887978,0.5597547660000001,0.996,0.004,18.050804590784015,1.4189385175704956,-0.0007462253925041296,0.050850448594428596,0.08457988172158366
1360,5226240,392,9630.168476819992,3680.581657886505,28.418598,0.61067202,0.988,0.012,17.60174704154581,1.4189385175704956,-0.0015488244898733683,0.06595082813000772,0.054365354914625644
1380,5303040,391,9787.093505859375,3736.2780306339264,28.47227,0.525186486,0.986,0.014,17.454304469257593,1.4189385175704956,-0.0013642952544614673,1.754634776787134,0.032117421679140536
1400,5379840,391,9940.682115793228,3791.4075577259064,28.69374,0.543248248,0.992,0.008,17.97659268642962,1.4189385175704956,-0.0009448415541555733,1.2397678484616335,0.0689638681607903
1420,5456640,391,10088.36687707901,3846.55211520195,28.364634,0.558911162,0.986,0.014,17.67122482854128,1.4189385175704956,-0.001018966527772136,0.0896249401208479,0.05969018726755167
1440,5533440,391,10231.75598526001,3901.6347982883453,28.51529,0.50271895,0.99,0.01,17.776842679053544,1.4189385175704956,-0.0010305474395863711,1.415686198390904,0.0605188320580055
1460,5610240,391,10369.607666492462,3956.2853441238403,28.876997,0.5570033539999999,0.992,0.008,18.26905778492987,1.4189385175704956,-0.0005272661364870146,0.058627361216349524,0.08678596690660925
1480,5687040,391,10510.859722614288,4009.874984741211,28.579456,0.523411694,0.988,0.012,17.93541762830317,1.4189385175704956,-0.0006395938340574503,1.67765936802316,0.04410878759372281
1500,5763840,391,10650.945773124695,4064.34446310997,28.455473,0.48683795599999996,0.992,0.008,17.450837606154384,1.4189385175704956,-0.00012825150752178162,0.9831700964539778,0.06934807126963279
1520,5840640,391,10789.619089126587,4117.6241245269775,28.646566,0.546397896,0.988,0.012,17.883020559959114,1.4189385175704956,-0.001631807113517425,0.057105995243182404,0.03774850795889506
1540,5917440,391,10925.589968681335,4171.25483250618,28.222317,0.5845412,0.982,0.018,18.039501176461577,1.4189385175704956,-0.00040085118071147007,2.129730372314225,0.033172439428744836
1560,5994240,391,11062.981657981873,4225.112967014313,28.570198,0.6225756280000001,0.99,0.01,18.070705713242294,1.4189385175704956,-0.0025600803071938573,2.881872123791254,0.04078733215283137
1580,6071040,391,11200.743369102478,4278.264532804489,28.70188,0.510882006,0.994,0.006,17.987625167362392,1.4189385175704956,-0.000918698294844944,0.06913014048477635,0.0653766008792445
1600,6147840,391,11344.076462984085,4333.099708557129,28.400547,0.54484731,0.988,0.012,17.649084628745914,1.4189385175704956,-0.0007419069617753849,2.9586857508082174,0.06584859775030054
1620,6224640,391,11492.795793294907,4387.023741722107,28.567719,0.6014060600000001,0.988,0.012,18.109144855625928,1.4189385175704956,-0.0015196463176835096,1.1961796595773193,0.0698794094416371
1640,6301440,391,11645.032091140747,4443.2750742435455,28.74495,0.636482266,0.992,0.008,18.120332753982396,1.4189385175704956,-0.0013001633560634218,0.05630037259834353,0.04437785065092612
1660,6378240,391,11785.526655197144,4498.138283967972,28.37067,0.513732112,0.992,0.008,17.87820969902724,1.4189385175704956,-0.0009589969442458824,1.704183909497806,0.07242864618019666
1680,6455040,391,11926.35739159584,4551.992717266083,28.769241,0.5200395059999999,0.992,0.008,18.252552024781703,1.4189385175704956,-0.0009203261663060403,1.0581402087089373,0.09020539307384752
1700,6531840,391,12067.771322488785,4606.134063243866,28.693438,0.59648024,0.994,0.006,17.87875271895528,1.4189385175704956,-0.0019069417947321198,0.0720313269586768,0.059523404903302435
1720,6608640,391,12215.233152627945,4660.771862030029,28.664028,0.5568288579999999,0.988,0.012,18.029911421895026,1.4189385175704956,-0.0005279708537273109,2.657830842502881,0.043302486126776785
1740,6685440,390,12368.18077325821,4715.694509029388,27.86383,0.6060418919999999,0.974,0.026,18.082667538285257,1.4189385175704956,-0.0012794728565495462,1.11152601611102,0.06712664990918711
